Comment,Designator,Footprint,LCSC Part Number
220p,C1,C_0805_2012Metric,C107145
470n,"C2,C3",CP_Elec_4x5.4,C22387960
100n,C4,C_0805_2012Metric,C49678
220u,"C5,C6",CP_Elec_6.3x5.4,C3345
100u,C7,CP_Elec_5x5.4,C72473
1n4007,D1,D_SOD-323,C193404
10R,R1,R_0805_2012Metric,C2907296
