Designator,Mid X,Mid Y,Layer,Rotation
C1,54.85,-87.775,top,-90
C2,95.1,-87.925,top,-90
C3,68.3,-81.2,top,90
C4,68.3,-75.8375,top,-90
C5,81.3,-74.8125,top,-90
C6,85.1,-74.8125,top,-90
C7,71.8,-67.15,top,-90
C8,79.05,-67.15,top,-90
C9,82.4,-81,top,-90
C10,77.9,-59.5875,top,90
D1,74,-57.9,top,90
R3,64.1,-83.2,top,0
R4,90.65,-86.6,top,-90
R5,64.75,-65.65,top,90
U1,74.9125,-77.825,top,-90
U2,87.07,-55.91,top,-90
